ID_Pivot,Deleted,Post_Deletion_ID,Retailer_promotion_number_1,Salitix_client_number,Salitix_customer_number,Retailer_promotion_number_2,Retailer_promotion_description,Promo_period,Promo_funding_type,Instore_Start_Date,Instore_End_Date,Buy_In_Start_Date,Buy_In_End_Date,Outer_Case_Code,Retailer_Product_Number,Retailer_Product_Number_2,Retailer_Product_Description,Retailer_Product_Unit_Size,Retailer_Case_Size,Retailer_product_vat_rate,Feature_space_fee,Positioning_fee,Standard_Selling_Price,Promotional_Selling_Price,Standard_Case_Cost,Promotional_Case_Cost,Standard_margin_perc,Promo_margin_perc,Promo_Retro_Funding_Case,Promo_Retro_Start_Date,Promo_Retro_End_Date,Retailer_Promo_Funding_Perc,Supplier_Promo_Funding_Perc,Trigger_Unit_Qty,Trigger_Funding_Amount,Epos_Funding_Amount,Standard_Volume_Forecast,Promo_Volume_Forecast,Retail_Promo_Comments,Data_Source
111,,,98,,SAI01,,C14 - Martini Vibrante 75cl,,E,09/12/2020,01/01/2021,09/12/2020,01/01/2021,,8021833,,,,6,20.0,0,0,,,32.0,32.0,,,,09/12/2020,01/01/2021,,,1,0,1.070000,,,Core Only,PRF-2020-10-340741.pdf
112,,,97,,SAI01,,C13 & C14 - Bombay Sapphire,,E,18/11/2020,01/01/2021,18/11/2020,01/01/2021,,7988453,,,,6,20.0,0,0,,,46.0,46.0,,,,18/11/2020,01/01/2021,,,1,0,0.580000,,,Convenience Only,PRF-2020-10-343521.pdf
113,,,99,,SAI01,,C15 & C16 - Bacardi Carta Blanca,,E,02/01/2021,09/02/2020,02/01/2021,09/02/2020,,2377216,,,,6,20.0,0,0,,,68.85,68.85,,,,02/01/2021,09/02/2020,,,1,0,0.500000,,,Core Only,PRF-2020-12-348230.pdf
114,,,100,,SAI01,,C15 & C16 - Bacardi Coconut 70cl,,E,02/01/2021,09/02/2020,02/01/2021,09/02/2020,,7988439,,,,6,20.0,0,0,,,62.43,62.43,,,,02/01/2021,09/02/2020,,,1,0,0.540000,,,Core Only,PRF-2020-12-348234.pdf
115,,,101,,SAI01,,C15 & C16 - Bacardi Spiced 70cl,,E,02/01/2021,09/02/2020,02/01/2021,09/02/2020,,7967008,,,,6,20.0,0,0,,,63.4,63.4,,,,02/01/2021,09/02/2020,,,1,0,0.580000,,,Core Only,PRF-2020-12-348236.pdf
116,,,102,,SAI01,,C15 - Martini Vibrante 75cl,,E,02/01/2021,19/01/2021,02/01/2021,19/01/2021,,8021833,,,,6,20.0,0,0,,,32.0,32.0,,,,02/01/2021,19/01/2021,,,1,0,1.220000,,,Core Only,PRF-2020-12-348239.pdf
117,,,103,,SAI01,,Cycle 15- Bacardi 70cl,,E,02/01/2021,19/01/2021,02/01/2021,19/01/2021,,2377216,,,,6,20.0,0,0,,,68.85,68.85,,,,02/01/2021,19/01/2021,,,1,0,0.500000,,,Convenience Only,PRF-2020-12-348497.pdf
118,,,104,,SAI01,,Cycle 15- Bacardi 70cl,,E,02/01/2021,19/01/2021,02/01/2021,19/01/2021,,7967008,,,,6,20.0,0,0,,,63.4,63.4,,,,02/01/2021,19/01/2021,,,1,0,0.580000,,,Convenience Only,PRF-2020-12-348497.pdf
119,,,105,,SAI01,,C18 - Bombay Sapphire 70cl,,E,03/03/2021,14/03/2021,03/03/2021,14/03/2021,,2623733,,,,6,20.0,0,0,,,81.22,81.22,,,,03/03/2021,14/03/2021,,,1,0,0.360000,,,Convenience Only,PRF-2021-01-352789.pdf
120,,,106,,SAI01,,C18 - Bombay Sapphire 70cl,,E,01/03/2021,14/03/2021,01/03/2021,14/03/2021,,2623733,,,,6,20.0,0,0,,,81.22,81.22,,,,01/03/2021,14/03/2021,,,1,0,0.360000,,,Core Only,PRF-2021-01-352790.pdf
