ID_Pivot,Deleted,Post_Deletion_ID,Retailer_promotion_number_1,Salitix_client_number,Salitix_customer_number,Retailer_promotion_number_2,Retailer_promotion_description,Promo_period,Promo_funding_type,Instore_Start_Date,Instore_End_Date,Buy_In_Start_Date,Buy_In_End_Date,Outer_Case_Code,Retailer_Product_Number,Retailer_Product_Number_2,Retailer_Product_Description,Retailer_Product_Unit_Size,Retailer_Case_Size,Retailer_product_vat_rate,Feature_space_fee,Positioning_fee,Standard_Selling_Price,Promotional_Selling_Price,Standard_Case_Cost,Promotional_Case_Cost,Standard_margin_perc,Promo_margin_perc,Promo_Retro_Funding_Case,Promo_Retro_Start_Date,Promo_Retro_End_Date,Retailer_Promo_Funding_Perc,Supplier_Promo_Funding_Perc,Trigger_Unit_Qty,Trigger_Funding_Amount,Epos_Funding_Amount,Standard_Volume_Forecast,Promo_Volume_Forecast,Retail_Promo_Comments,Data_Source
52,,,47,,SAI01,,Cycle 5 - Grey Goose 70cl,,E,17/06/2020,07/07/2020,17/06/2020,07/07/2020,,4182931,,,,6,20.0,0,0,,,145.17,145.17,,,,17/06/2020,07/07/2020,,,1,0,0.500000,,,Core Only,PRF-2020-06-326123.pdf
53,,,48,,SAI01,,Cycle 5 - Benedictine 50cl,,E,17/06/2020,07/07/2020,17/06/2020,07/07/2020,,3167168,,,,6,20.0,0,0,,,75.51,75.51,,,,17/06/2020,07/07/2020,,,1,0,0.250000,,,Core Only,PRF-2020-06-326125.pdf
54,,,49,,SAI01,,Cycle 6 - Bombay Sapphire 1L-,,E,08/07/2020,28/07/2020,08/07/2020,28/07/2020,,3355909,,,,6,20.0,0,0,,,100.9,100.9,,,,08/07/2020,28/07/2020,,,1,0,0.380000,,,Core Only,PRF-2020-06-326399.pdf
55,,,50,,SAI01,,Cycle 6 - Grey Goose 35cl,,E,08/07/2020,28/07/2020,08/07/2020,28/07/2020,,7806460,,,,12,20.0,0,0,,,153.0,153.0,,,,08/07/2020,28/07/2020,,,1,0,0.500000,,,Core Only,PRF-2020-06-326401.pdf
56,,,51,,SAI01,,Cycle 6 -Bacardi Carta Blanca 1L,,E,08/07/2020,28/07/2020,08/07/2020,28/07/2020,,2397870,,,,6,20.0,0,0,,,87.67,87.67,,,,08/07/2020,28/07/2020,,,1,0,0.720000,,,Core Only,PRF-2020-06-326566.pdf
57,,,52,,SAI01,,Cycle 6 - Bacardi Spiced 1L,,E,08/07/2020,28/07/2020,08/07/2020,28/07/2020,,7966994,,,,6,20.0,0,0,,,78.0,78.0,,,,08/07/2020,28/07/2020,,,1,0,0.160000,,,Core Only,PRF-2020-06-326567.pdf
58,,,53,,SAI01,,Cycle 6 - Bacardi Coconut 70cl,,E,08/07/2020,28/07/2020,08/07/2020,28/07/2020,,7988439,,,,6,20.0,0,0,,,62.43,62.43,,,,08/07/2020,28/07/2020,,,1,0,0.540000,,,Core Only,PRF-2020-06-326568.pdf
59,,,54,,SAI01,,Cycle 6 - St Germain 20cl,,E,08/07/2020,28/07/2020,08/07/2020,28/07/2020,,7988455,,,,6,20.0,0,0,,,32.4,32.4,,,,08/07/2020,28/07/2020,,,1,0,0.900000,,,Core Only,PRF-2020-06-326569.pdf
60,,,55,,SAI01,,Cycle 7 - Bombay Sapphire 35cl,,E,29/07/2020,11/08/2020,29/07/2020,11/08/2020,,7988453,,,,6,20.0,0,0,,,46.0,46.0,,,,29/07/2020,11/08/2020,,,1,0,0.580000,,,Core Only,PRF-2020-07-330368.pdf
61,,,56,,SAI01,,Cycle 7 - Bacardi 70cl -£13,,E,29/07/2020,11/08/2020,29/07/2020,11/08/2020,,2377216,,,,6,20.0,0,0,,,68.85,68.85,,,,29/07/2020,11/08/2020,,,1,0,0.800000,,,Core Only,PRF-2020-07-330369.pdf
62,,,57,,SAI01,,Cycle 7 - Bacardi 70cl -£13,,E,29/07/2020,11/08/2020,29/07/2020,11/08/2020,,7967008,,,,6,20.0,0,0,,,63.4,63.4,,,,29/07/2020,11/08/2020,,,1,0,0.790000,,,Core Only,PRF-2020-07-330369.pdf
63,,,58,,SAI01,,Cycle 7 & 8 - Martini 75cl,,E,29/07/2020,25/08/2020,29/07/2020,25/08/2020,,7974548,,,,6,20.0,0,0,,,35.8,35.8,,,,29/07/2020,25/08/2020,,,1,0,0.810000,,,Core Only,PRF-2020-07-330370.pdf
64,,,58,,SAI01,,Cycle 7 & 8 - Martini 75cl,,E,29/07/2020,25/08/2020,29/07/2020,25/08/2020,,7974553,,,,6,20.0,0,0,,,35.8,35.8,,,,29/07/2020,25/08/2020,,,1,0,0.810000,,,Core Only,PRF-2020-07-330370.pdf
65,,,58,,SAI01,,Cycle 7 & 8 - Martini 75cl,,E,29/07/2020,25/08/2020,29/07/2020,25/08/2020,,7974560,,,,6,20.0,0,0,,,35.8,35.8,,,,29/07/2020,25/08/2020,,,1,0,0.810000,,,Core Only,PRF-2020-07-330370.pdf
66,,,59,,SAI01,,Cycle 8 -Bacardi Carta Blanca 1L,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,2397870,,,,6,20.0,0,0,,,87.67,87.67,,,,12/08/2020,25/08/2020,,,1,0,0.720000,,,Core Only,PRF-2020-07-330372.pdf
67,,,60,,SAI01,,Cycle 8 - Bacardi Spiced 1L,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,7966994,,,,6,20.0,0,0,,,78.0,78.0,,,,12/08/2020,25/08/2020,,,1,0,0.160000,,,Core Only,PRF-2020-07-330373.pdf
68,,,61,,SAI01,,Cycle 8 - Bombay Sapphire 70cl,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,2623733,,,,6,20.0,0,0,,,81.22,81.22,,,,12/08/2020,25/08/2020,,,1,0,0.180000,,,Core Only,PRF-2020-07-330374.pdf
69,,,62,,SAI01,,Cycle 8 - Bombay Bramble 70cl,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,8012350,,,,6,20.0,0,0,,,80.28,80.28,,,,12/08/2020,25/08/2020,,,1,0,0.480000,,,Core Only,PRF-2020-07-330375.pdf
70,,,63,,SAI01,,Cycle 8 - Martini Fiero,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,7965705,,,,6,20.0,0,0,,,45.0,45.0,,,,12/08/2020,25/08/2020,,,1,0,1.000000,,,Core Only,PRF-2020-07-330376.pdf
71,,,64,,SAI01,,Cycle 8 - Martini Vibrante 75cl,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,8021833,,,,6,20.0,0,0,,,32.0,32.0,,,,12/08/2020,25/08/2020,,,1,0,1.070000,,,Core Only,PRF-2020-07-330377.pdf
72,,,65,,SAI01,,Cycle 8 - St Germain 20cl,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,7988455,,,,6,20.0,0,0,,,32.4,32.4,,,,12/08/2020,25/08/2020,,,1,0,0.900000,,,Core Only,PRF-2020-07-330379.pdf
73,,,66,,SAI01,,Cycle 8 - Patron XO Cafe,,E,12/08/2020,25/08/2020,12/08/2020,25/08/2020,,7623801,,,,6,20.0,0,0,,,62.46,62.46,,,,12/08/2020,25/08/2020,,,1,0,0.100000,,,Core Only,PRF-2020-07-330380.pdf
74,,,55,,SAI01,,Cycle 7 - Bombay Sapphire 35cl,,E,29/07/2020,11/08/2020,29/07/2020,11/08/2020,,7988453,,,,6,20.0,0,0,,,46.0,46.0,,,,29/07/2020,11/08/2020,,,1,0,0.580000,,,Convenience Only,PRF-2020-07-332191.pdf
75,,,67,,SAI01,,C13 & C14 - Bacardi Spiced 1L,,E,18/11/2020,01/01/2020,18/11/2020,01/01/2020,,7966994,,,,6,20.0,0,0,,,78.0,78.0,,,,18/11/2020,01/01/2020,,,1,0,0.160000,,,Core Only,PRF-2020-08-334524.pdf
76,,,68,,SAI01,,C16 - Bombay Sapphire 70cl,,E,20/01/2021,09/02/2021,20/01/2021,09/02/2021,,2623733,,,,6,20.0,0,0,,,81.22,81.22,,,,20/01/2021,09/02/2021,,,1,0,0.180000,,,Core Only,PRF-2020-08-334532.pdf
77,,,69,,SAI01,,C16 - Bombay Bramble 70cl,,E,01/02/2021,14/02/2021,01/02/2021,14/02/2021,,8012350,,,,6,20.0,0,0,,,80.28,80.28,,,,01/02/2021,14/02/2021,,,1,0,0.480000,,,Core Only,PRF-2020-08-334533.pdf
78,,,70,,SAI01,,C9 - Martini Fiero 75cl,,E,26/08/2020,15/09/2020,26/08/2020,15/09/2020,,7965705,,,,6,20.0,0,0,,,45.0,45.0,,,,26/08/2020,15/09/2020,,,1,0,1.000000,,,Core Only,PRF-2020-08-334548.pdf
79,,,71,,SAI01,,C9 - Martini Vibrante 75cl,,E,26/08/2020,15/09/2020,26/08/2020,15/09/2020,,8021833,,,,6,20.0,0,0,,,32.0,32.0,,,,26/08/2020,15/09/2020,,,1,0,1.070000,,,Core Only,PRF-2020-08-334551.pdf
80,,,72,,SAI01,,C9 - Benedictine 50cl,,E,26/08/2020,15/09/2020,26/08/2020,15/09/2020,,3167168,,,,6,20.0,0,0,,,75.51,75.51,,,,26/08/2020,15/09/2020,,,1,0,0.320000,,,Core Only,PRF-2020-08-334553.pdf
81,,,73,,SAI01,,C9 - Bombay Sapphire 1L,,E,26/08/2020,15/09/2020,26/08/2020,15/09/2020,,3355909,,,,6,20.0,0,0,,,100.9,100.9,,,,26/08/2020,15/09/2020,,,1,0,0.380000,,,Core Only,PRF-2020-08-334554.pdf
82,,,74,,SAI01,,Cycle 10 - Bombay Sapphire 70cl,,E,16/09/2020,06/10/2020,16/09/2020,06/10/2020,,2623733,,,,6,20.0,0,0,,,81.22,81.22,,,,16/09/2020,06/10/2020,,,1,0,0.360000,,,Core Only,PRF-2020-08-335035.pdf
83,,,75,,SAI01,,Cycle 10 & 11 - Bombay Dry 1L -,,E,16/09/2020,20/10/2020,16/09/2020,20/10/2020,,7704252,,,,6,20.0,0,0,,,80.32,80.32,,,,16/09/2020,20/10/2020,,,1,0,0.410000,,,Core Only,PRF-2020-08-335037.pdf
84,,,76,,SAI01,,Cycle 10 - Bombay Sapphire 35cl,,E,16/09/2020,06/10/2020,16/09/2020,06/10/2020,,7988453,,,,6,20.0,0,0,,,46.0,46.0,,,,16/09/2020,06/10/2020,,,1,0,0.580000,,,Core Only,PRF-2020-08-335039.pdf
85,,,77,,SAI01,,Cycle 10 - Martini 75cl £7.50,,E,16/09/2020,06/10/2020,16/09/2020,06/10/2020,,7974548,,,,6,20.0,0,0,,,35.8,35.8,,,,16/09/2020,06/10/2020,,,1,0,0.810000,,,Core Only,PRF-2020-08-335040.pdf
86,,,77,,SAI01,,Cycle 10 - Martini 75cl £7.50,,E,16/09/2020,06/10/2020,16/09/2020,06/10/2020,,7974553,,,,6,20.0,0,0,,,35.8,35.8,,,,16/09/2020,06/10/2020,,,1,0,0.810000,,,Core Only,PRF-2020-08-335040.pdf
87,,,77,,SAI01,,Cycle 10 - Martini 75cl £7.50,,E,16/09/2020,06/10/2020,16/09/2020,06/10/2020,,7974560,,,,6,20.0,0,0,,,35.8,35.8,,,,16/09/2020,06/10/2020,,,1,0,0.810000,,,Core Only,PRF-2020-08-335040.pdf
88,,,78,,SAI01,,Cycle 10 - Martini Fiero £10,,E,16/09/2020,06/10/2020,16/09/2020,06/10/2020,,7965705,,,,6,20.0,0,0,,,45.0,45.0,,,,16/09/2020,06/10/2020,,,1,0,1.000000,,,Core Only,PRF-2020-08-335041.pdf
89,,,79,,SAI01,,Cycle 11 - Bacardi 70cl -£13,,E,07/10/2020,27/10/2020,07/10/2020,27/10/2020,,2377216,,,,6,20.0,0,0,,,68.85,68.85,,,,07/10/2020,27/10/2020,,,1,0,0.800000,,,Core Only,PRF-2020-08-335044.pdf
90,,,80,,SAI01,,Cycle 11 - Bacardi 70cl -£13,,E,07/10/2020,27/10/2020,07/10/2020,27/10/2020,,7967008,,,,6,20.0,0,0,,,63.4,63.4,,,,07/10/2020,27/10/2020,,,1,0,0.790000,,,Core Only,PRF-2020-08-335044.pdf
91,,,81,,SAI01,,Cycle 11 - Bacardi 70cl -£13,,E,07/10/2020,27/10/2020,07/10/2020,27/10/2020,,7988439,,,,6,20.0,0,0,,,62.43,62.43,,,,07/10/2020,27/10/2020,,,1,0,0.540000,,,Core Only,PRF-2020-08-335044.pdf
92,,,82,,SAI01,,Cycle 11 - Martini Vibrante 75cl,,E,07/10/2020,27/10/2020,07/10/2020,27/10/2020,,8021833,,,,6,20.0,0,0,,,32.0,32.0,,,,07/10/2020,27/10/2020,,,1,0,1.070000,,,Core Only,PRF-2020-08-335046.pdf
93,,,83,,SAI01,,Cycle 12 - Bombay Sapphire 70cl,,E,28/10/2020,17/11/2020,28/10/2020,17/11/2020,,2623733,,,,6,20.0,0,0,,,81.22,81.22,,,,28/10/2020,17/11/2020,,,1,0,0.360000,,,Core Only,PRF-2020-09-339047.pdf
94,,,84,,SAI01,,Cycle 12 - Bombay Bramble 70cl,,E,28/10/2020,17/11/2020,28/10/2020,17/11/2020,,8012350,,,,6,20.0,0,0,,,80.28,80.28,,,,28/10/2020,17/11/2020,,,1,0,0.480000,,,Core Only,PRF-2020-09-339049.pdf
