Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
111688573,BOMBAY SAPPHIRE SUNSET 70CL (ABV 43%),,2.00,,20.00,9/22/2021,10/12/2021,Agreement.Promotion.3885076
110620729,BACARDI SPICED 1L,,,,18.00,9/22/2021,10/12/2021,Agreement.Promotion.3978648
110620729,BACARDI SPICED 1L,,,,18.75,9/22/2021,10/12/2021,Agreement.Promotion.3978661
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.00,9/22/2021,10/12/2021,Agreement.Promotion.3978679
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.38,,22.00,9/22/2021,10/12/2021,Agreement.Promotion.3978761
109191816,MARTINI EXTRA DRY 75CL (ABV 15.0%),,,,7.50,10/13/2021,11/2/2021,Agreement.Promotion.3938623
109191883,MARTINI ROSSO 75CL (ABV 15.0%),,,,7.50,10/13/2021,11/2/2021,Agreement.Promotion.3938623
110566591,MARTINI BIANCO 750ML (ABV 15%),,,,7.50,10/13/2021,11/2/2021,Agreement.Promotion.3938623
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.00,10/13/2021,11/2/2021,Agreement.Promotion.4008585
110620729,BACARDI SPICED 1L,,,,17.50,10/13/2021,11/2/2021,Agreement.Promotion.4008643
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,10/13/2021,11/2/2021,Agreement.Promotion.4008657
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,3.42,,18.00,10/13/2021,11/2/2021,Agreement.Promotion.4009446
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.70,,18.00,10/13/2021,11/2/2021,Agreement.Promotion.4009460
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.00,10/13/2021,11/2/2021,Agreement.Promotion.4009473
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.13,10/13/2021,11/2/2021,Agreement.Promotion.4009486
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,16.99,10/13/2021,10/24/2021,Agreement.Promotion.4018902
110620729,BACARDI SPICED 1L,,,,16.99,10/13/2021,10/24/2021,Agreement.Promotion.4045629
101524487,ASTI MARTINI 75CL,,,,6.50,10/25/2021,11/23/2021,Agreement.Promotion.4129697
110620729,BACARDI SPICED 1L,,,,16.99,11/3/2021,11/23/2021,Agreement.Promotion.4041899
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,11/3/2021,11/23/2021,Agreement.Promotion.4041940
110620729,BACARDI SPICED 1L,,,,17.50,11/3/2021,11/23/2021,Agreement.Promotion.4051983
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,,11/3/2021,11/23/2021,Agreement.Promotion.4052028
109191816,MARTINI EXTRA DRY 75CL (ABV 15.0%),,,,7.50,11/3/2021,11/23/2021,Agreement.Promotion.4130018
109191883,MARTINI ROSSO 75CL (ABV 15.0%),,,,7.50,11/3/2021,11/23/2021,Agreement.Promotion.4130018
110566591,MARTINI BIANCO 750ML (ABV 15%),,,,7.50,11/3/2021,11/23/2021,Agreement.Promotion.4130018
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.38,,,11/3/2021,11/23/2021,Agreement.Promotion.4138161
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.00,11/24/2021,1/1/2022,Agreement.Promotion.4196296
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.00,11/24/2021,1/1/2022,Agreement.Promotion.4196928
110620729,BACARDI SPICED 1L,,,,17.50,11/24/2021,1/1/2022,Agreement.Promotion.4197743
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,15.99,11/3/2021,11/16/2021,Agreement.Promotion.4216619
110620729,BACARDI SPICED 1L,,,,15.99,11/3/2021,11/16/2021,Agreement.Promotion.4216619
101524487,ASTI MARTINI 75CL,,,,6.50,11/24/2021,1/1/2022,Agreement.Promotion.4216731
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,3.42,,18.00,11/24/2021,1/1/2022,Agreement.Promotion.4238971
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.91,,17.00,11/24/2021,1/1/2022,Agreement.Promotion.4239001
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.71,,20.00,11/24/2021,1/1/2022,Agreement.Promotion.4239019
102861012,Grey Goose 40% 70cl,,2.53,,34.50,11/24/2021,1/1/2022,Agreement.Promotion.4239052
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.13,11/24/2021,1/1/2022,Agreement.Promotion.4239075
110620729,BACARDI SPICED 1L,,,,16.99,11/10/2021,11/14/2021,Agreement.Promotion.4247285
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,16.99,11/10/2021,11/14/2021,Agreement.Promotion.4247735
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,11/24/2021,1/1/2022,Agreement.Promotion.4251557
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.71,,20.00,11/29/2021,12/5/2021,Agreement.Promotion.4369065
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.71,,20.00,11/29/2021,12/5/2021,Agreement.Promotion.4369107
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.71,,20.00,12/6/2021,1/1/2022,Agreement.Promotion.4369129
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,16.99,12/27/2021,1/1/2022,Agreement.Promotion.4508411
110620729,BACARDI SPICED 1L,,,,16.99,12/27/2021,1/1/2022,Agreement.Promotion.4508762
110620729,BACARDI SPICED 1L,,,,15.99,12/25/2021,1/1/2022,Agreement.Promotion.4608748
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,15.99,12/25/2021,1/1/2022,Agreement.Promotion.4608781
111947504,MARTINI VIBRANTE NON-ALCOHOLIC 75CL,,1.17,,8.00,1/2/2022,1/25/2022,Agreement.Promotion.4354909
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,20.50,1/2/2022,1/25/2022,Agreement.Promotion.4491898
110620729,BACARDI SPICED 1L,,,,20.50,1/2/2022,1/25/2022,Agreement.Promotion.4491898
110620729,BACARDI SPICED 1L,,,,20.50,1/2/2022,1/25/2022,Agreement.Promotion.4525394
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,20.50,1/2/2022,1/25/2022,Agreement.Promotion.4525419
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.00,1/26/2022,2/15/2022,Agreement.Promotion.4705232
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.13,1/26/2022,2/15/2022,Agreement.Promotion.4705488
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,3.42,,18.00,1/26/2022,2/15/2022,Agreement.Promotion.4713851
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.91,,17.00,1/26/2022,2/15/2022,Agreement.Promotion.4713870
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.00,1/26/2022,2/15/2022,Agreement.Promotion.4728523
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.21,,13.13,1/26/2022,2/15/2022,Agreement.Promotion.4728697
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.00,2/16/2022,3/15/2022,Agreement.Promotion.4944119
111688573,BOMBAY SAPPHIRE SUNSET 70CL (ABV 43%),,2.00,,20.00,2/16/2022,3/15/2022,Agreement.Promotion.4948005
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.46,,13.00,2/16/2022,3/15/2022,Agreement.Promotion.4948358
101530449,BACARDI WHITE RUM 37.5%   70CL,,0.46,,13.13,2/16/2022,3/15/2022,Agreement.Promotion.4948425
101524487,ASTI MARTINI 75CL,,,,7.00,2/16/2022,3/15/2022,Agreement.Promotion.4978871
109191816,MARTINI EXTRA DRY 75CL (ABV 15.0%),,,,7.50,2/16/2022,3/15/2022,Agreement.Promotion.4978890
109191883,MARTINI ROSSO 75CL (ABV 15.0%),,,,7.50,2/16/2022,3/15/2022,Agreement.Promotion.4978890
110566591,MARTINI BIANCO 750ML (ABV 15%),,,,7.50,2/16/2022,3/15/2022,Agreement.Promotion.4978890
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.71,,20.00,2/7/2022,2/14/2022,Agreement.Promotion.5010669
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.38,,22.00,2/15/2022,2/16/2022,Agreement.Promotion.5013089
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,3/16/2022,4/5/2022,Agreement.Promotion.5239993
101550917,BACARDI WHITE RUM 37.5%   1LTR,,0.24,,15.99,3/16/2022,5/2/2022,Agreement.Promotion.5240344
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.81,,,3/21/2022,3/27/2022,Agreement.Promotion.5240523
101547574,BOMBAY SAPPHIRE DRY GIN 1L (ABV 40%),,4.81,,20.00,3/21/2022,3/27/2022,Agreement.Promotion.5240555
110620729,BACARDI SPICED 1L,,,,15.99,3/16/2022,5/2/2022,Agreement.Promotion.5251547
110620729,BACARDI SPICED 1L,,,,18.75,3/16/2022,4/5/2022,Agreement.Promotion.5251591
111854762,BACARDI RASPBERRY SPRIT DRINK 70CL (ABV 32%),,,,13.00,4/6/2022,4/26/2022,Agreement.Promotion.5387210
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.91,,17.00,4/6/2022,4/26/2022,Agreement.Promotion.5387348
110620729,BACARDI SPICED 1L,,,,18.75,4/6/2022,4/26/2022,Agreement.Promotion.5387407
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,4/6/2022,4/26/2022,Agreement.Promotion.5387424
111096658,BOMBAY BRAMBLE DISTILLED GIN 70CL (ABV 37.5%),,2.38,,20.00,4/27/2022,5/24/2022,Agreement.Promotion.5564586
112442364,BOMBAY CITRON PRESSE GIN 70CL (ABV 37.5%),,2.38,,20.00,4/27/2022,5/24/2022,Agreement.Promotion.5564602
101545798,BOMBAY SAPPHIRE GIN 70CL 40%,,3.91,,17.00,4/27/2022,5/24/2022,Agreement.Promotion.5564620
110620729,BACARDI SPICED 1L,,,,17.50,4/27/2022,5/24/2022,Agreement.Promotion.5565428
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,18.75,4/27/2022,5/24/2022,Agreement.Promotion.5565452
110620729,BACARDI SPICED 1L,,,,16.99,5/3/2022,5/24/2022,Agreement.Promotion.5565149
101550917,BACARDI WHITE RUM 37.5%   1LTR,,,,16.99,5/3/2022,5/24/2022,Agreement.Promotion.5565352
