Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,2.27,,13.99,23/01/2023,14/02/2023,Agreement.Promotion.8024907
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,2.27,,14,23/01/2023,14/02/2023,Agreement.Promotion.8024974
106758451,AUCHENTOSHAN AMERICAN OAK SINGLE MALT WHISKY 40% 70CL,,5.16,,21.99,23/01/2023,14/02/2023,Agreement.Promotion.8025172
109637241,HIGHLAND PARK DRAGON LEGEND SINGLE MALT SCOTCH WHISKY 70CL (ABV 43.1%),,2.92,,31.99,23/01/2023,14/02/2023,Agreement.Promotion.8025254
110733336,ROKU GIN THE JAPANESE CRAFT GIN 700ML (ABV 43%),,2.11,,24.99,23/01/2023,14/02/2023,Agreement.Promotion.8025352
110772554,LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY AGED 10 YEARS 70CL (ABV 40%),,4.59,,29.99,23/01/2023,14/02/2023,Agreement.Promotion.8025404
111765971,HIGHLAND PARK 10 YEAR OLD VIKING SCARS 70CL (ABV 40%),,2.17,,26.99,23/01/2023,14/02/2023,Agreement.Promotion.8025431
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,18/01/2023,22/01/2023,Agreement.Promotion.8135143
106758451,AUCHENTOSHAN AMERICAN OAK SINGLE MALT WHISKY 40% 70CL,,5.16,,21.99,18/01/2023,22/01/2023,Agreement.Promotion.8135360
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20,23/01/2023,14/02/2023,Agreement.Promotion.8320625
106758451,AUCHENTOSHAN AMERICAN OAK SINGLE MALT WHISKY 40% 70CL,,5.16,,21.99,23/01/2023,14/02/2023,Agreement.Promotion.8320909
110772554,LAPHROAIG ISLAY SINGLE MALT SCOTCH WHISKY AGED 10 YEARS 70CL (ABV 40%),,4.59,,29.99,23/01/2023,14/02/2023,Agreement.Promotion.8321292
111765971,HIGHLAND PARK 10 YEAR OLD VIKING SCARS 70CL (ABV 40%),,2.17,,26.99,23/01/2023,14/02/2023,Agreement.Promotion.8321475
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,2.29,,14,15/02/2023,07/03/2023,Agreement.Promotion.8349777
101527670,SOURZ APPLE 70CL 15%,,1.83,,8,15/02/2023,07/03/2023,Agreement.Promotion.8357882
101538336,FAMOUS GROUSE WHISKY 35CL 40%,,0.12,,9,15/02/2023,07/03/2023,Agreement.Promotion.8358634
101550458,COURVOISIER VS COGNAC 70CL 40%,,1.32,,26,15/02/2023,07/03/2023,Agreement.Promotion.8360424
