Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
100144319,BARR COLA 2 LIITRE,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
100144335,BARR CREAM SODA 2 LITRE,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
100144343,BARR LIMEADE 2 LITRE,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
100157769,BARR LEMONADE 2 LITRE,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
100157793,BARR LEMONADE DIET 2 LITRE,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
105920575,BARR RED KOLA 2LTR,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
105920621,TIZER 2LTR,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
110960846,BARR DIET COLA 2L,,0.03,,0.85,1/2/2021,1/26/2021,Agreement.Promotion.2657463
110355849,KA SPARKLING FRUIT PUNCH 330ML,,0.03,,0.00,1/27/2021,8/1/2021,Agreement.Promotion.2744791
110355873,KA SPARKLING BLACK GRAPE 330ML,,0.03,,0.00,1/27/2021,8/1/2021,Agreement.Promotion.2744791
110355902,KA SPARKLING PINEAPPLE 330ML,,0.03,,0.00,1/27/2021,8/1/2021,Agreement.Promotion.2744791
103955408,Rubicon Mango 288ml,,0.03,,,2/1/2021,8/1/2021,Agreement.Promotion.2745051
104025835,Rubicon Passion 330ml,,0.05,,,2/1/2021,8/1/2021,Agreement.Promotion.2745051
104025860,Rubicon Mango 330ml,,0.05,,,2/1/2021,8/1/2021,Agreement.Promotion.2745051
104025923,Rubicon Guava 330ml,,0.05,,,2/1/2021,8/1/2021,Agreement.Promotion.2745051
104025958,Rubicon Lychee 330ml,,0.05,,,2/1/2021,8/1/2021,Agreement.Promotion.2745051
109759467,RUBICON STILL MANGO DELUXE 1L,,0.11,,1.25,2/15/2021,6/20/2021,Agreement.Promotion.2812837
109759491,RUBICON STILL GUAVA DELUXE 1L,,0.11,,1.25,2/15/2021,6/20/2021,Agreement.Promotion.2812837
100383715,RUBICON MANGO JUICE       4X1L,,0.35,,4.00,2/15/2021,6/20/2021,Agreement.Promotion.2812856
105134785,Rubicon Passion 2L,,0.22,,1.00,2/15/2021,6/20/2021,Agreement.Promotion.2812879
105137986,Rubicon Mango 2L,,0.22,,1.00,2/15/2021,6/20/2021,Agreement.Promotion.2812879
106047755,RUBICON SPARKLING LYCHEE 2L,,0.22,,1.00,2/15/2021,6/20/2021,Agreement.Promotion.2812879
110688361,RUBICON MANGO ZERO ADDED SUGAR 2L,,0.22,,1.00,2/15/2021,6/20/2021,Agreement.Promotion.2812879
111580159,RUBICON SPARKLING MANGO 6 X 330ML,,,,3.00,2/22/2021,3/28/2021,Agreement.Promotion.2822722
111580280,RUBICON SPARKLING PASSION 6 X 330ML,,,,3.00,2/22/2021,3/28/2021,Agreement.Promotion.2822722
100157048,IRN BRU 1LTR,,0.21,,0.85,2/17/2021,3/16/2021,Agreement.Promotion.2839734
100157056,IRN BRU DIET 1LTR,,0.21,,0.85,2/17/2021,3/16/2021,Agreement.Promotion.2839734
100144212,IRN BRU 24X330ML,,0.26,,7.00,2/17/2021,3/16/2021,Agreement.Promotion.2839760
100144247,IRN BRU SUGAR FREE 24X330ML,,0.26,,7.00,2/17/2021,3/16/2021,Agreement.Promotion.2839760
108321033,IRN BRU XTRA 24 X 330ML,,0.26,,7.00,2/17/2021,3/16/2021,Agreement.Promotion.2839760
100144319,BARR COLA 2 LIITRE,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
100144335,BARR CREAM SODA 2 LITRE,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
100144343,BARR LIMEADE 2 LITRE,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
100157769,BARR LEMONADE 2 LITRE,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
100157793,BARR LEMONADE DIET 2 LITRE,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
105920399,A G BARR DANDELION & BURDOCK 2LTR,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
105920575,BARR RED KOLA 2LTR,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
105920621,TIZER 2LTR,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
110960846,BARR DIET COLA 2L,,0.03,,0.90,2/17/2021,3/16/2021,Agreement.Promotion.2839793
100157110,IRN BRU 2LTR,,0.38,,1.25,2/17/2021,3/16/2021,Agreement.Promotion.2839838
100157128,IRN BRU SUGAR FREE 2LTR,,0.38,,1.25,2/17/2021,3/16/2021,Agreement.Promotion.2839838
108320962,IRN BRU XTRA 2L,,0.38,,1.25,2/17/2021,3/16/2021,Agreement.Promotion.2839838
108716781,BUNDABERG ROOT BEER 4 X 375ML BOTTLES,,0.45,,3.50,2/17/2021,3/16/2021,Agreement.Promotion.2839910
108786463,BUNDABERG GINGER BEER 4 X 375ML,,0.45,,3.50,2/17/2021,3/16/2021,Agreement.Promotion.2839910
111048841,IRN-BRU 6 330ML CANS,,0.40,,,2/17/2021,3/16/2021,Agreement.Promotion.2841603
111048971,IRN-BRU XTRA 6 330ML CANS,,0.40,,,2/17/2021,3/16/2021,Agreement.Promotion.2841603
111049085,IRN-BRU SUGAR FREE 6 330ML CANS,,0.40,,,2/17/2021,3/16/2021,Agreement.Promotion.2841603
104460829,IRN BRU 8 330ML CANS,,0.32,,3.00,2/17/2021,3/16/2021,Agreement.Promotion.2841643
104461899,IRN BRU SUGAR FREE 8 330ML CANS,,0.32,,3.00,2/17/2021,3/16/2021,Agreement.Promotion.2841643
108321068,IRN BRU XTRA 8 X 330ML,,0.32,,3.00,2/17/2021,3/16/2021,Agreement.Promotion.2841643
100143682,IRN BRU 8X250ML,,0.27,,2.50,2/17/2021,3/16/2021,Agreement.Promotion.2841668
100143703,IRN BRU SUGAR FREE 8X250ML,,0.27,,2.50,2/17/2021,3/16/2021,Agreement.Promotion.2841668
110383920,RUBICON SPRING ORANGE MANGO 1.5L,,0.10,,1.25,2/17/2021,3/16/2021,Agreement.Promotion.2841695
110383954,RUBICON SPRING STRAWBERRY KIWI 1.5L,,0.10,,1.25,2/17/2021,3/16/2021,Agreement.Promotion.2841695
109823772,RUBICON SPARKLING MANGO 18 X 330ML,,,,5.00,3/1/2021,5/23/2021,Agreement.Promotion.2814539
111580159,RUBICON SPARKLING MANGO 6 X 330ML,,0.21,,2.50,3/17/2021,4/6/2021,Agreement.Promotion.2909084
111580280,RUBICON SPARKLING PASSION 6 X 330ML,,0.21,,2.50,3/17/2021,4/6/2021,Agreement.Promotion.2909084
100144212,IRN BRU 24X330ML,,0.26,,7.00,3/17/2021,4/6/2021,Agreement.Promotion.2925101
100144247,IRN BRU SUGAR FREE 24X330ML,,0.26,,7.00,3/17/2021,4/6/2021,Agreement.Promotion.2925101
108321033,IRN BRU XTRA 24 X 330ML,,0.26,,7.00,3/17/2021,4/6/2021,Agreement.Promotion.2925101
100144319,BARR COLA 2 LIITRE,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
100144335,BARR CREAM SODA 2 LITRE,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
100144343,BARR LIMEADE 2 LITRE,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
100157769,BARR LEMONADE 2 LITRE,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
100157793,BARR LEMONADE DIET 2 LITRE,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
105920399,A G BARR DANDELION & BURDOCK 2LTR,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
105920575,BARR RED KOLA 2LTR,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
105920621,TIZER 2LTR,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
110960846,BARR DIET COLA 2L,,0.03,,0.90,3/17/2021,4/6/2021,Agreement.Promotion.2925125
