,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
540,CL023,ASD01,FX,,,,Fixed Agreement,7000035813,2022-03-28,1000173747,,2022-03-28,2022-03-28,,,2411.49,0.2,2893.7879999999996,,ASDA Media Partnership Income,Automatic
541,CL023,ASD01,MS,,,,VOLUME REBATE,7000044398,2019-04-28,,,2019-04-28,2019-04-28,,,8744.00,0.2,10492.8,,VOLUME REBATE Look on image,Automatic
542,CL023,ASD01,MS,,,,VOLUME REBATE,7000044461,2019-04-28,,,2019-04-28,2019-04-28,,,16839.60,0.2,20207.519999999997,,VOLUME REBATE Look on image,Automatic
543,CL023,ASD01,MS,,,,VOLUME REBATE,7000044463,2019-04-28,,,2019-04-28,2019-04-28,,,35490.20,0.2,42588.24,,VOLUME REBATE Look on image,Automatic
544,CL023,ASD01,MS,,,,,7000044488,2022-04-14,,,2022-04-14,2022-04-14,,,881.55,0.2,1057.86,, Look on image,Automatic
545,CL023,ASD01,MS,,,,VOLUME REBATE,7000044495,2019-04-28,,,2019-04-28,2019-04-28,,,10648.50,0.2,12778.199999999999,,VOLUME REBATE Look on image,Automatic
546,CL023,ASD01,FX,,,,Fixed Agreement,7000044504,2022-03-29,1000168428,,2022-01-01,2022-01-24,,,26.69,0.2,32.028,,Volume Incentive - Sales based,Automatic
547,CL023,ASD01,FX,,,,Fixed Agreement,7000044514,2022-03-29,1000174139,,2021-09-09,2021-10-06,,,30.14,0.2,36.168,,Volume Incentive - Sales based,Automatic
548,CL023,ASD01,PR,E,,,Volume Agreement,7000044970,2022-04-22,1000169923,9647032.0,2022-04-01,2022-04-20,13445.0,0.6,8067.0,0.2,9680.4,,,Automatic
549,CL023,ASD01,PR,E,,,Volume Agreement,7000044976,2022-04-22,1000170636,51095785.0,2022-04-01,2022-04-20,7944.0,0.35,2780.3999999999996,0.2,3336.4799999999996,,,Automatic
550,CL023,ASD01,MS,,,,,7000045818,2019-03-26,,,2019-03-26,2019-03-26,,,60.00,0.0,60.0,, Look on image,Automatic
551,CL023,ASD01,FX,,,,Fixed Agreement,7000045878,2020-04-28,1000038991,,2020-02-27,2020-03-18,,,190071.36,0.2,228085.63199999998,,Volume Incentive - Sales based,Automatic
552,CL023,ASD01,FX,,,,Fixed Agreement,7000045924,2020-04-30,1000036997,,2020-02-06,2020-02-23,,,59681.00,0.2,71617.2,,Volume Incentive - Sales based,Automatic
553,CL023,ASD01,FX,,,,Fixed Agreement,7000046484,2021-04-27,1000101357,,2021-04-26,2021-04-26,,,569.85,0.2,683.82,,ASDA Media Partnership Income,Automatic
554,CL023,ASD01,MS,,,,,7000046512,2019-03-28,,,2019-03-28,2019-03-28,,,81700.00,0.2,98040.0,, Look on image,Automatic
555,CL023,ASD01,MS,,,,,7000062199,2019-04-29,,,2019-04-29,2019-04-29,,,2000.00,0.2,2400.0,, Look on image,Automatic
556,CL023,ASD01,MS,,,,,7000062200,2019-04-29,,,2019-04-29,2019-04-29,,,2000.00,0.2,2400.0,, Look on image,Automatic
557,CL023,ASD01,FX,,,,Fixed Agreement,7000062291,2020-05-28,1000042652,,2020-02-20,2020-03-31,,,150000.00,0.2,180000.0,,Turnover Bonus,Automatic
558,CL023,ASD01,FX,,,,Fixed Agreement,7000062306,2021-05-27,1000106917,,2021-05-26,2021-05-26,,,502.40,0.2,602.88,,ASDA Media Partnership Income,Automatic
559,CL023,ASD01,FX,,,,Fixed Agreement,7000062463,2021-05-27,1000109682,,2021-05-26,2021-05-26,,,3250.00,0.2,3900.0,,ASDA Media Partnership Income,Automatic
560,CL023,ASD01,FX,,,,Fixed Agreement,7000062472,2021-05-27,1000109755,,2021-05-26,2021-05-26,,,150.91,0.2,181.09199999999998,,ASDA Media Partnership Income,Automatic
561,CL023,ASD01,FX,,,,Fixed Agreement,7000062490,2021-05-27,1000110022,,2021-05-26,2021-05-26,,,946.31,0.2,1135.572,,ASDA Media Partnership Income,Automatic
562,CL023,ASD01,MS,,,,,7000063028,2019-04-29,,,2019-04-29,2019-04-29,,,60.00,0.0,60.0,, Look on image,Automatic
563,CL023,ASD01,FX,,,,Fixed Agreement,7000063181,2021-05-10,1000103878,,2021-03-25,2021-04-21,,,335119.91,0.2,402143.89199999993,,Promotional Funding,Automatic
564,CL023,ASD01,FX,,,,Fixed Agreement,7000065051,2021-05-16,1000100880,,2021-04-26,2021-05-16,,,25125.00,0.2,30150.0,,Marketing-Instore,Automatic
565,CL023,ASD01,FX,,,,Fixed Agreement,7000065184,2021-05-27,1000102049,,2021-05-26,2021-05-26,,,538.26,0.2,645.9119999999999,,ASDA Media Partnership Income,Automatic
566,CL023,ASD01,MS,,,,,7000065491,2019-05-24,,,2019-05-24,2019-05-24,,,20.00,0.0,20.0,, Look on image,Automatic
567,CL023,ASD01,FX,,,,Fixed Agreement,7000066161,2023-05-26,1000233179,,2023-05-26,2023-05-26,,,4675.00,0.2,5610.0,,ASDA Media Partnership Income,Automatic
568,CL023,ASD01,MS,,,,VOLUME REBATE,7000066239,2019-05-01,,,2019-05-01,2019-05-01,,,590.80,0.2,708.9599999999999,,VOLUME REBATE Look on image,Automatic
569,CL023,ASD01,MS,,,,VOLUME REBATE,7000066402,2019-05-01,,,2019-05-01,2019-05-01,,,11368.00,0.2,13641.6,,VOLUME REBATE Look on image,Automatic
570,CL023,ASD01,MS,,,,VOLUME REBATE,7000066607,2019-05-01,,,2019-05-01,2019-05-01,,,582.40,0.2,698.88,,VOLUME REBATE Look on image,Automatic
571,CL023,ASD01,FX,,,,Fixed Agreement,7000066688,2023-05-26,1000235853,,2023-05-26,2023-05-26,,,4180.00,0.2,5016.0,,ASDA Media Partnership Income,Automatic
572,CL023,ASD01,MS,,,,VOLUME REBATE,7000066708,2019-05-01,,,2019-05-01,2019-05-01,,,5612.60,0.2,6735.12,,VOLUME REBATE Look on image,Automatic
573,CL023,ASD01,FX,,,,Fixed Agreement,7000066756,2020-05-27,1000042243,,2020-05-14,2020-05-14,,,2550.00,0.2,3060.0,,ASDA Media Partnership Income,Automatic
574,CL023,ASD01,FX,,,,Fixed Agreement,7000067494,2021-05-27,1000107839,,2021-05-26,2021-05-26,,,9992.91,0.2,11991.492,,ASDA Media Partnership Income,Automatic
575,CL023,ASD01,MS,,,,VOLUME REBATE,7000067504,2019-05-01,,,2019-05-01,2019-05-01,,,22516.00,0.2,27019.2,,VOLUME REBATE Look on image,Automatic
576,CL023,ASD01,FX,,,,Fixed Agreement,7000067513,2022-05-23,1000181951,,2022-03-24,2022-04-20,,,162.63,0.2,195.15599999999998,,Volume Incentive - Sales based,Automatic
577,CL023,ASD01,FX,,,,Fixed Agreement,7000067952,2021-05-27,1000109226,,2021-05-26,2021-05-26,,,771.66,0.2,925.992,,ASDA Media Partnership Income,Automatic
578,CL023,ASD01,FX,,,,Fixed Agreement,7000067954,2023-05-26,1000233427,,2023-05-26,2023-05-26,,,17497.25,0.2,20996.7,,ASDA Media Partnership Income,Automatic
579,CL023,ASD01,MS,,,,VOLUME REBATE,7000082148,2019-06-01,,,2019-06-01,2019-06-01,,,1014.76,0.2,1217.712,,VOLUME REBATE Look on image,Automatic
580,CL023,ASD01,FX,,,,Fixed Agreement,7000082168,2023-06-26,1000238848,,2023-06-26,2023-06-26,,,10324.16,0.2,12388.992,,ASDA Media Partnership Income,Automatic
581,CL023,ASD01,FX,,,,Fixed Agreement,7000082319,2023-06-30,1000237917,,2023-06-13,2023-12-31,,,800000.00,0.2,960000.0,,Other (By Exception Only),Automatic
582,CL023,ASD01,FX,,,,Fixed Agreement,7000082358,2021-06-29,1000110078,,2021-06-28,2021-06-28,,,2535.72,0.2,3042.8639999999996,,ASDA Media Partnership Income,Automatic
583,CL023,ASD01,FX,,,,Fixed Agreement,7000082433,2022-06-28,1000184899,,2022-06-27,2022-06-27,,,1326.00,0.2,1591.2,,ASDA Media Partnership Income,Automatic
584,CL023,ASD01,FX,,,,Fixed Agreement,7000082442,2022-06-28,1000185276,,2022-06-06,2022-06-19,,,46322.83,0.2,55587.396,,Volume Incentive - Sales based,Automatic
585,CL023,ASD01,FX,,,,Fixed Agreement,7000082468,2022-06-28,1000186244,,2022-06-27,2022-06-27,,,217.18,0.2,260.616,,ASDA Media Partnership Income,Automatic
586,CL023,ASD01,FX,,,,Fixed Agreement,7000082591,2022-06-28,1000184057,,2022-06-27,2022-06-27,,,15000.00,0.2,18000.0,,ASDA Media Partnership Income,Automatic
587,CL023,ASD01,FX,,,,Fixed Agreement,7000082593,2022-06-28,1000184220,,2022-06-27,2022-06-27,,,15000.00,0.2,18000.0,,ASDA Media Partnership Income,Automatic
588,CL023,ASD01,FX,,,,Fixed Agreement,7000082624,2023-06-26,1000239085,,2023-06-26,2023-06-26,,,11475.00,0.2,13770.0,,ASDA Media Partnership Income,Automatic
589,CL023,ASD01,FX,,,,Fixed Agreement,7000082656,2023-06-26,1000239824,,2023-06-26,2023-06-26,,,10571.40,0.2,12685.679999999998,,ASDA Media Partnership Income,Automatic
590,CL023,ASD01,FX,,,,Fixed Agreement,7000082657,2022-06-28,1000186729,,2022-06-27,2022-06-27,,,50517.76,0.2,60621.312,,ASDA Media Partnership Income,Automatic
591,CL023,ASD01,FX,,,,Fixed Agreement,7000082718,2022-06-28,1000187687,,2022-06-27,2022-06-27,,,13440.00,0.2,16128.0,,ASDA Media Partnership Income,Automatic
592,CL023,ASD01,FX,,,,Fixed Agreement,7000082791,2022-06-28,1000188841,,2022-06-27,2022-06-27,,,445.46,0.2,534.5519999999999,,ASDA Media Partnership Income,Automatic
593,CL023,ASD01,FX,,,,Fixed Agreement,7000083075,2022-06-28,1000184056,,2022-06-27,2022-06-27,,,12750.00,0.2,15300.0,,ASDA Media Partnership Income,Automatic
594,CL023,ASD01,FX,,,,Fixed Agreement,7000083085,2022-06-28,1000185189,,2022-06-27,2022-06-27,,,15000.00,0.2,18000.0,,ASDA Media Partnership Income,Automatic
595,CL023,ASD01,FX,,,,Fixed Agreement,7000083107,2022-06-28,1000185845,,2022-06-27,2022-06-27,,,4997.30,0.2,5996.76,,ASDA Media Partnership Income,Automatic
596,CL023,ASD01,FX,,,,Fixed Agreement,7000083300,2023-06-26,1000239845,,2023-06-26,2023-06-26,,,12507.50,0.2,15009.0,,ASDA Media Partnership Income,Automatic
597,CL023,ASD01,PR,E,,,Volume Agreement,7000083377,2022-06-30,1000163617,50201905.0,2022-06-01,2022-06-30,39644.0,0.4,15857.6,0.2,19029.12,,,Automatic
598,CL023,ASD01,PR,E,,,Volume Agreement,7000083378,2022-06-30,1000164087,50207302.0,2022-06-01,2022-06-30,29183.0,0.3,8754.9,0.2,10505.88,,,Automatic
599,CL023,ASD01,PR,E,,,Volume Agreement,7000083466,2022-06-30,1000185147,51074408.0,2022-06-16,2022-06-30,4423.0,0.1,442.29999999999995,0.2,530.7599999999999,,,Automatic
600,CL023,ASD01,FX,,,,Fixed Agreement,7000083541,2023-06-26,1000239248,,2023-06-26,2023-06-26,,,1479.56,0.2,1775.472,,ASDA Media Partnership Income,Automatic
601,CL023,ASD01,FX,,,,Fixed Agreement,7000083546,2021-06-22,1000111933,,2021-03-25,2021-04-21,,,13662.75,0.2,16395.3,,Promotional Funding,Automatic
602,CL023,ASD01,FX,,,,Fixed Agreement,7000083586,2023-06-26,1000240316,,2023-06-26,2023-06-26,,,5000.55,0.2,6000.66,,ASDA Media Partnership Income,Automatic
603,CL023,ASD01,FX,,,,Fixed Agreement,7000083680,2021-06-28,1000109049,,2021-01-02,2021-05-31,,,36768.60,0.2,44122.32,,Promotional Funding,Automatic
604,CL023,ASD01,MS,,,,,7000083937,2019-06-03,,,2019-06-03,2019-06-03,,,23625.00,0.2,28350.0,, Look on image,Automatic
605,CL023,ASD01,FX,,,,Fixed Agreement,7000083969,2021-06-29,1000115177,,2021-06-28,2021-06-28,,,2550.00,0.2,3060.0,,ASDA Media Partnership Income,Automatic
606,CL023,ASD01,MS,,,,,7000084175,2023-06-30,,,2023-06-30,2023-06-30,,,527684.20,0.2,633221.0399999999,, Look on image,Automatic
