,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
103,CL002,ASD01,PR,E,,,Volume Agreement,7000107534,2022-07-31,1000190961,50363123.0,2022-07-14,2022-07-31,10039.0,0.39,3915.2099999999996,0.0,3915.2099999999996,,,Automatic
104,CL002,ASD01,PR,E,,,Volume Agreement,7000107580,2019-07-19,1000001257,5929038.0,2019-07-01,2019-07-17,16172.0,0.2,3234.3999999999996,0.0,3234.3999999999996,,,Automatic
105,CL002,ASD01,PR,E,,,Volume Agreement,7000107580,2019-07-19,1000001257,5944655.0,2019-07-01,2019-07-17,6540.0,0.2,1308.0,0.0,1308.0,,,Automatic
106,CL002,ASD01,PR,E,,,Volume Agreement,7000107580,2019-07-19,1000001257,5947266.0,2019-07-01,2019-07-17,13026.0,0.2,2605.2,0.0,2605.2,,,Automatic
107,CL002,ASD01,PR,E,,,Volume Agreement,7000107580,2019-07-19,1000001257,5947259.0,2019-07-01,2019-07-17,6270.0,0.2,1254.0,0.0,1254.0,,,Automatic
108,CL002,ASD01,PR,E,,,Volume Agreement,7000107583,2019-07-19,1000001261,50606688.0,2019-07-01,2019-07-17,33850.0,0.3,10155.0,0.2,12186.0,,,Automatic
109,CL002,ASD01,MS,,,,,7000107675,2022-08-10,,,2022-08-10,2022-08-10,,,112.24,0.2,134.688,, Look on image,Automatic
110,CL002,ASD01,MS,,,,,7000107688,2021-08-11,,,2021-08-11,2021-08-11,,,16213.77,0.0,16213.77,, Look on image,Automatic
111,CL002,ASD01,MS,,,,,7000107689,2021-08-11,,,2021-08-11,2021-08-11,,,30155.68,0.0,30155.68,, Look on image,Automatic
112,CL002,ASD01,MS,,,,,7000107690,2021-08-11,,,2021-08-11,2021-08-11,,,6495.19,0.2,7794.227999999999,, Look on image,Automatic
113,CL002,ASD01,MS,,,,,7000107691,2021-08-11,,,2021-08-11,2021-08-11,,,21500.64,0.2,25800.768,, Look on image,Automatic
