,ID,Salitix_client_number,Salitix_client_name,Salitix_customer_number,salitix_customer_short_name,Promo_Status,Audit_Year,Retailer_promotion_number,Retailer_promotion_description,Promo_period,Promo_funding_type,Instore_Start_Date,Instore_End_Date,Buy_In_Start_Date,Buy_In_End_Date,Outer_Case_Code,Retailer_Product_Number,Retailer_Product_Number_2,Retailer_Product_Description,Retailer_Product_Unit_Size,Retailer_Case_Size,Retailer_product_vat_rate,Feature_space_fee,Positioning_fee,Standard_Selling_Price,Promotional_Selling_Price,Standard_Case_Cost,Promotional_Case_Cost,Promo_Retro_Funding(Case),Promo_Retro_Start_Date,Promo_Retro_End_Date,Retailer_Promo_Funding_Perc,Supplier_Promo_Funding_Perc,Trigger_Funding_Amount,Epos_Funding_Amount,Salitix_EPOS_PRD_Status_ind,Salitix_EPOS_Qty,Salitix_EPOS_Value,Salitix_Invoice_Qty_Units,Salitix_Dupe_Record_ind,Audit_Comments,CreatedDate,CreatedBy,LastUpdate,LastUpdateBy,Trigger_Unit_Qty,Salitix_Overlap_Record_ind,Salitix_Case_Size_Diff_Record_ind,Salitix_VAT_Rate_Diff_Record_ind,Salitix_Avg_Inv_Promo_Case_Price,Actual_Promotion_ID,MatchPass,Standard_Margin_perc,Promo_Margin_perc,Standard_Volume_Forecast,Promo_Volume_Forecast,Retail_Promo_Comments,Data_Source,Promotion_Zone_Number,PS_History
10,48961,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-32,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5947259,,Jacobs Savours 150g Cheese,,12,0.0,0.0,0.0,1.39,1.0,10.74,10.74,0.0,,,0.0,0.0,0.4,0.0,Y,5998.0,6599.95,11088.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,10.74,1000082833,1.0,0.0,0.0,1500.0,18000.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
11,48962,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-32,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5947266,,Jacobs Savours 150g Sour Cream & Chive,,12,0.0,0.0,0.0,1.39,1.0,10.74,10.74,0.0,,,0.0,0.0,0.4,0.0,Y,23021.0,25658.0,26208.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,10.74,1000082833,1.0,0.0,0.0,2500.0,30000.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
12,48963,CL002,PLADIS,ASD01,ASDA,2,2021,CL002-ASD01-2021-33,Cheddars & TUC Shelf @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5947287,,JACOBS CHEDDARS 150g BBQ,,12,0.0,0.0,0.0,1.29,1.0,11.15,11.15,2.51,,,0.0,0.0,0.0,0.209,Y,19810.0,19619.18,,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,,1000084205,1.0,0.0,0.0,277.0,3324.0,No,pladis Jacobs Cheddars and TUC Shelf @ £1.00,,
13,48964,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-34,McVitie's Choc Hobnob GE13 @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5949268,,McV Hobnobs 262G MILK,,12,0.2,0.0,0.0,1.5,1.25,10.8,10.8,1.8,,,0.0,0.0,0.0,0.15,Y,74435.0,92942.11,76320.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,10.8,1000084366,1.0,0.0,0.0,4108.0,49296.0,No,pladis McVitie's Choc Hobnobs Shelf @ £1.25,,
14,48965,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-34,McVitie's Choc Hobnob GE13 @ £1,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5949275,,McV Hobnobs 262G DARK,,12,0.2,0.0,0.0,1.5,1.25,10.8,10.8,1.8,,,0.0,0.0,0.0,0.15,Y,16067.0,20131.29,17280.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,10.8,1000084366,1.0,0.0,0.0,904.0,10848.0,No,pladis McVitie's Choc Hobnobs Shelf @ £1.25,,
15,48966,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-35,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5950668,,Jacobs Lunchtime  190g Chive crispbreads,,6,0.0,0.0,0.0,1.5,1.0,6.63,6.63,0.0,,,0.0,0.0,0.82,0.0,Y,24800.0,27591.76,26622.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,6.63,1000082833,1.0,0.0,0.0,7400.0,44400.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
16,48967,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-35,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5950675,,Jacobs Lunchtime  190g Mixed Grain Crispbreads,,6,0.0,0.0,0.0,1.5,1.0,6.63,6.63,0.0,,,0.0,0.0,0.82,0.0,Y,22361.0,24687.84,22662.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,6.63,1000082833,1.0,0.0,0.0,7250.0,43500.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
17,48968,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-35,Lunchtime multibuy @ 2 for £2,P2,T,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5950682,,Jacobs Lunchtime  190g Mixed Seed Crispbreads,,6,0.0,0.0,0.0,1.5,1.0,6.63,6.63,0.0,,,0.0,0.0,0.82,0.0,Y,13443.0,14723.91,13260.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,2,N,N,N,6.63,1000082833,1.0,0.0,0.0,4750.0,28500.0,No,pladis Jacob's + Carr's Lunchtime  Shelf @ 2 for 2,,
18,48969,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-36,McVitie's Penguin @ £0.9,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5954406,,PENGUIN BARS 8pk MILK,,36,0.2,0.0,0.0,1.0,0.9,22.2,22.2,2.22,,,0.0,0.0,0.0,0.062,Y,200400.0,199650.99,137376.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,22.2,,,0.0,0.0,5600.0,201600.0,No,pladis Penguin SS1 @ £0.90,,
19,48970,CL002,PLADIS,ASD01,ASDA,1,2021,CL002-ASD01-2021-36,McVitie's Penguin @ £0.9,P2,E,2021-01-28,2021-02-24,2021-01-28,2021-02-24,,5954413,,PENGUIN BARS 8pk MINT,,36,0.2,0.0,0.0,1.0,0.9,22.2,22.2,2.22,,,0.0,0.0,0.0,0.062,Y,57196.0,56943.78,51840.0,N,,2022-08-01 11:42:49.940,SALITIX\james.bird,2024-01-02 12:39:39.190,AADDSSALITIX\saladmin,1,N,N,N,22.2,,,0.0,0.0,1300.0,46800.0,No,pladis Penguin SS1 @ £0.90,,
