0,1,2,3,4,5,6
SAI01,I2C003369,11310.0,11310.0,Gross Amount is an integer,,
SAI01,0090029410,4212.0,4212.0,Gross Amount is an integer,,
SAI01,RP7467/002,7299.0,7299.0,Gross Amount is an integer,,
ASD01,0090030701,-15000.0,-15000.0,Gross Amount is an integer,,
ASD01,7000043453,80200.0,80200.0,Gross Amount is an integer,,
ASD01,7000074978,80200.0,80200.0,Gross Amount is an integer,,
ASD01,7000139543,11000.0,11000.0,Gross Amount is an integer,,
ASD01,7000126382,45000.0,45000.0,Gross Amount is an integer,,
ASD01,7000064213,60000.0,60000.0,Gross Amount is an integer,,
ASD01,7000112828,1100.0,1100.0,Gross Amount is an integer,,
ASD01,7000005039,80200.0,80200.0,Gross Amount is an integer,,
TES01,100009780,64210.0,64210.0,Gross Amount is an integer,,
TES01,100118563,43669.0,43669.0,Gross Amount is an integer,,
TES01,0090037150,1500.0,1500.0,Gross Amount is an integer,,
TES01,0090037150,6000.0,6000.0,Gross Amount is an integer,,
TES01,1384557,1750.0,1750.0,Gross Amount is an integer,,
MOR01,654153427,757715.0,757715.0,Gross Amount is an integer,,
MOR01,41953,350.0,350.0,Gross Amount is an integer,,
MOR01,716817510,50000.0,50000.0,Gross Amount is an integer,,
MOR01,692350622,1881.0,1881.0,Gross Amount is an integer,,
MOR01,43523,100.0,100.0,Gross Amount is an integer,,
SAI01,FD347403/01,640.0,640.0,Gross Amount is an integer,,
SAI01,RP7455/004,7245.0,7245.0,Gross Amount is an integer,,
ASD01,7000096093,700.0,700.0,Gross Amount is an integer,,
ASD01,7000032530,15300.0,15300.0,Gross Amount is an integer,,
ASD01,0090036470,1656.0,1656.0,Gross Amount is an integer,,
ASD01,43294C,725.0,725.0,Gross Amount is an integer,,
ASD01,7000123128,7000.0,7000.0,Gross Amount is an integer,,
ASD01,7000145614,68200.0,68200.0,Gross Amount is an integer,,
ASD01,7000104903,8000.0,8000.0,Gross Amount is an integer,,
ASD01,7000032536,2050.0,2050.0,Gross Amount is an integer,,
ASD01,7000123133,45000.0,45000.0,Gross Amount is an integer,,
ASD01,10186316,225.0,225.0,Gross Amount is an integer,,
ASD01,7000104902,16200.0,16200.0,Gross Amount is an integer,,
ASD01,7000054541,10000.0,10000.0,Gross Amount is an integer,,
ASD01,7000091773,13320.0,13320.0,Gross Amount is an integer,,
ASD01,7000150283,11250.0,11250.0,Gross Amount is an integer,,
ASD01,0090043350,7350.0,7350.0,Gross Amount is an integer,,
MOR01,670945323,12.0,12.0,Gross Amount is an integer,,
MOR01,611717467,1136.0,1136.0,Gross Amount is an integer,,
MOR01,0090040897,37748.0,37748.0,Gross Amount is an integer,,
SAI01,RP1094/003,352.0,352.0,Gross Amount is an integer,,
SAI01,FD345269/01,1710.0,1710.0,Gross Amount is an integer,,
SAI01,RP7564/002,630.0,630.0,Gross Amount is an integer,,
SAI01,41933,250.0,250.0,Gross Amount is an integer,,
SAI01,0090033962,1120.0,1120.0,Gross Amount is an integer,,
TES01,100013113,14553.0,14553.0,Gross Amount is an integer,,
TES01,TI00720108,-239.0,-239.0,Gross Amount is an integer,,
TES01,0090031232,1500.0,1500.0,Gross Amount is an integer,,
TES01,0090035145,183236.0,183236.0,Gross Amount is an integer,,
TES01,100009779,52000.0,52000.0,Gross Amount is an integer,,
TES01,0090053638,4500.0,4500.0,Gross Amount is an integer,,
TES01,0090053541,15950.0,15950.0,Gross Amount is an integer,,
ASD01,7000155493,90000.0,90000.0,Gross Amount is an integer,,
ASD01,7000198779,6408.0,6408.0,Gross Amount is an integer,,
ASD01,7000002005,65750.0,65750.0,Gross Amount is an integer,,
ASD01,7000115512,68200.0,68200.0,Gross Amount is an integer,,
ASD01,10185505,112.0,112.0,Gross Amount is an integer,,
ASD01,0090036733,10000.0,10000.0,Gross Amount is an integer,,
ASD01,0090038104,157143.0,157143.0,Gross Amount is an integer,,
ASD01,7000189955,74862.0,74862.0,Gross Amount is an integer,,
ASD01,7000150285,5670.0,5670.0,Gross Amount is an integer,,
ASD01,7000105519,57000.0,57000.0,Gross Amount is an integer,,
ASD01,7000128127,57000.0,57000.0,Gross Amount is an integer,,
ASD01,7000049750,98308.0,98308.0,Gross Amount is an integer,,
ASD01,7000104901,31050.0,31050.0,Gross Amount is an integer,,
MOR01,621574592,333.0,333.0,Gross Amount is an integer,,
MOR01,701388465,84.0,84.0,Gross Amount is an integer,,
MOR01,0090052312,1909.0,1909.0,Gross Amount is an integer,,
MOR01,616427757,333.0,333.0,Gross Amount is an integer,,
MOR01,0090038425,2440.0,2440.0,Gross Amount is an integer,,
MOR01,0090038682,-15.0,-15.0,Gross Amount is an integer,,
MOR01,0090035690,5431.0,5431.0,Gross Amount is an integer,,
SAI01,FD348318/01,272.0,272.0,Gross Amount is an integer,,
SAI01,RP6636/004,11759.0,11759.0,Gross Amount is an integer,,
SAI01,0090032542,224.0,224.0,Gross Amount is an integer,,
SAI01,FD350094/01,178.0,178.0,Gross Amount is an integer,,
SAI01,FD352526/01,252.0,252.0,Gross Amount is an integer,,
SAI01,0090037885,304.0,304.0,Gross Amount is an integer,,
SAI01,FD348246/01,103.0,103.0,Gross Amount is an integer,,
ASD01,7000112833,1100.0,1100.0,Gross Amount is an integer,,
ASD01,7000152054,35160.0,35160.0,Gross Amount is an integer,,
ASD01,20SEP193435,880.0,880.0,Gross Amount is an integer,,
ASD01,7000165158,1355.0,1355.0,Gross Amount is an integer,,
ASD01,0090037538,33000.0,33000.0,Gross Amount is an integer,,
ASD01,0090046398,12426.0,12426.0,Gross Amount is an integer,,
ASD01,0090045148,18949.0,18949.0,Gross Amount is an integer,,
ASD01,7000087008,31800.0,31800.0,Gross Amount is an integer,,
ASD01,7000060950,46875.0,46875.0,Gross Amount is an integer,,
ASD01,7000140977,2800.0,2800.0,Gross Amount is an integer,,
ASD01,7000074088,100000.0,100000.0,Gross Amount is an integer,,
