0,1,2,3,4,5,6
ASD01,7000027946,2000.0,2400.0,Gross Check,Nav Banner,
ASD01,7000024630,3500.0,4200.0,Gross Check,Basic Promo Banner,"- Basic Promo Banner (Contextual+Non Contextual - Food Cupboard>Biscuits, Chocolate"
ASD01,7000009171,2000.0,2400.0,Gross Check,Promo Banner,Promo Banner (Aisle - Fresh Food & Bakery>Bakery>Cakes)
ASD01,7000024630,3500.0,4200.0,Gross Check,Basic Promo Banner,"- Basic Promo Banner (Contextual+Non Contextual - Food Cupboard>Biscuits, Chocolate"
ASD01,7000031576,3350.0,4020.0,Gross Check,,; ;  Look on image
ASD01,7000027941,1500.0,1800.0,Gross Check,Trolley Marketing, Mini Trolley / Live: 27.02.20 - 20.03.20 / SP Pladis_Godiva_MothersDay
ASD01,7000035311,900.0,1080.0,Gross Check,Promo Banner,"Basic Promo Banner (Contextual+Non Contextual - Food Cupboard>Biscuits, Chocolate"
ASD01,7000027941,1500.0,1800.0,Nett Check,Trolley Marketing, Mini Trolley / Live: 27.02.20 - 20.03.20 / SP Pladis_Godiva_MothersDay
ASD01,7000062077,5100.0,6120.0,Nett Check,,; ;  Look on image
ASD01,7000027941,1500.0,1800.0,Nett Check,Trolley Marketing, Mini Trolley / Live: 27.02.20 - 20.03.20 / SP Pladis_Godiva_MothersDay
ASD01,7000062077,5100.0,6120.0,Nett Check,,; ;  Look on image
ASD01,7000027946,2000.0,2400.0,Gross Check,Nav Banner,
ASD01,7000024630,3500.0,4200.0,Gross Check,Basic Promo Banner,"- Basic Promo Banner (Contextual+Non Contextual - Food Cupboard>Biscuits, Chocolate"
ASD01,7000027946,2000.0,2400.0,Gross Check,Nav Banner,
ASD01,7000031576,3350.0,4020.0,Gross Check,,; ;  Look on image
ASD01,7000027946,2000.0,2400.0,Gross Check,Nav Banner,
ASD01,7000096322,3500.0,4200.0,Gross Check,,; ;  Look on image
ASD01,7000050561,20000.0,24000.0,Gross Check,50842478,Gate Fee
ASD01,7000024536,17000.0,20400.0,Gross Check,Magazine Marketing,Asda Mag - Full Page Display (02 - FEB)
ASD01,7000050561,20000.0,24000.0,Gross Check,50842478,Gate Fee
ASD01,7000188074,17000.0,20400.0,Gross Check,Magazine marketing,Asda Mag - Full Page Display
ASD01,7000050561,20000.0,24000.0,Gross Check,50842478,Gate Fee
ASD01,7000117530,17000.0,20400.0,Gross Check,,; ;  Look on image
ASD01,7000050561,20000.0,24000.0,Gross Check,50842478,Gate Fee
ASD01,7000075651,17000.0,20400.0,Gross Check,,; ;  Look on image
ASD01,7000050561,20000.0,24000.0,Gross Check,50842478,Gate Fee
ASD01,7000062071,17000.0,20400.0,Gross Check,,; ;  Look on image
ASD01,7000053585,12030.0,14436.0,Nett Check,MILKY WAY CAKE BARS CHOC 10PK,gate fee
ASD01,7000067508,13020.0,15624.0,Nett Check,Branded Shippers,- Branded Shippers (EG) / Live: 21.05.20 - 27.05.20 / SP Pladis Mini Cheddars Shipper P6 May20
ASD01,7000053585,12030.0,14436.0,Nett Check,MILKY WAY CAKE BARS CHOC 10PK,gate fee
ASD01,7000131065,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000053585,12030.0,14436.0,Nett Check,MILKY WAY CAKE BARS CHOC 10PK,gate fee
ASD01,7000057954,10230.0,12276.0,Nett Check,MCV MINI ROLLS JAFFA 5PK,
ASD01,7000053585,12030.0,14436.0,Nett Check,MILKY WAY CAKE BARS CHOC 10PK,gate fee
ASD01,7000171457,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000053585,12030.0,14436.0,Nett Check,MILKY WAY CAKE BARS CHOC 10PK,gate fee
ASD01,7000152848,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000053585,12030.0,14436.0,Nett Check,MILKY WAY CAKE BARS CHOC 10PK,gate fee
ASD01,7000158703,10230.0,12276.0,Nett Check,,; Fixed Agreement; Promotional Funding
ASD01,7000053585,12030.0,14436.0,Nett Check,MILKY WAY CAKE BARS CHOC 10PK,gate fee
ASD01,7000011799,10230.0,12276.0,Nett Check,,; ;  Look on image
ASD01,7000074369,15000.0,18000.0,Gross Check,JACOBS CRACKER CRISP CRMCHV 150G,
ASD01,7000096328,8400.0,10080.0,Gross Check,,; ;  Look on image
ASD01,7000074369,15000.0,18000.0,Gross Check,JACOBS CRACKER CRISP CRMCHV 150G,
ASD01,7000096328,8400.0,10080.0,Gross Check,,; VOLUME REBATE Look on image
ASD01,7000078322,10000.0,12000.0,Gross Check,MINI CHEDDARS ORIG 6X25G,gate fee
ASD01,7000188078,17500.0,21000.0,Gross Check,,; ;  Look on image
ASD01,7000005473,7450.0,8940.0,Nett Check,POS header Jan value event,
ASD01,7000039196,5740.0,6888.0,Nett Check,Radio Marketing,- FM Radio / Live: 12.03.20 - 18.03.20 / SP Pladis_Godiva_MothersDay_Mar20
ASD01,7000005473,7450.0,8940.0,Nett Check,POS header Jan value event,
ASD01,7000035338,5740.0,6888.0,Nett Check,Radio Marketing,FM Radio / Live: 05.03.20 - 11.03.20 / SP Pladis_Godiva_MothersDay_Mar20
ASD01,7000005473,7450.0,8940.0,Gross Check,POS header Jan value event,
ASD01,7000092594,7840.0,9408.0,Gross Check,PENGUIN BARS MILK 8X24.6,
ASD01,7000005473,7450.0,8940.0,Gross Check,POS header Jan value event,
ASD01,7000092594,7840.0,9408.0,Gross Check,MCV CLUB BAR ORANGE 7X24G,
ASD01,7000005473,7450.0,8940.0,Gross Check,POS header Jan value event,
ASD01,7000092594,7840.0,9408.0,Gross Check,MCVITIES HOBNOB PLAIN 300G,
ASD01,7000005473,7450.0,8940.0,Gross Check,POS header Jan value event,
ASD01,7000092594,7840.0,9408.0,Gross Check,MCV GOLD BAR  7X18G,
ASD01,7000005473,7450.0,8940.0,Gross Check,POS header Jan value event,
ASD01,7000092594,7840.0,9408.0,Gross Check,TUC ORIGINAL ORIG 150G,
