Salitix_Client_Number,salitix_customer_number,Retailer_Product_Number,Retailer_Product_Description,Retailer_Primary_Product_Number
CL012,ASD01,6827191,COURVR VSOP COGNAC COGNAC 70CL,6837411
CL012,ASD01,6827506,STOLICHNAYA VODKA 70CL,6827506
CL012,ASD01,6827793,NAKED GROUSE WHISKY SCOTCH 70CL,6827793
CL012,ASD01,6827807,SNOW GROUSE WHISKY SCOTCH 70CL,6827807
CL012,ASD01,6828143,JIM BEAM RED STAG  70CL,6828143
CL012,ASD01,6828157,SOURZ RASP 70CL,6828157
CL012,ASD01,6829018,SOURZ FUSIONZ APPLE 330ML,6829018
CL012,ASD01,6829032,SOURZ BRIT 70CL,6829032
CL012,ASD01,6829039,GLENROTHES RESERVE  70CL,6829039
CL012,ASD01,6829046,SOURZ FUSIONZ APPLE 70CL,6829046
CL012,ASD01,6829053,SOURZ FUSIONZ PURPLE 70CL,6829053
CL012,ASD01,6829781,SOURZ MANGO 70CL,6829781
CL012,ASD01,6829795,MACALLAN GOLD  70CL,6834184
CL012,ASD01,6830481,JIM BEAM HONEY 70CL,6834310
CL012,ASD01,6830593,JIM BEAM LIME SPLASH  33CL,6830593
CL012,ASD01,6831230,SOURZ APPLE 35CL,6831230
CL012,ASD01,6832014,JIM BEAM AND COLA  33CL,6832014
CL012,ASD01,6832595,JIM BEAM DEVILS CUT  70CL,6832595
CL012,ASD01,6833134,SOURZ LTD EDITION TROP 70CL,6833134
CL012,ASD01,6833337,SOURZ TOFAPP 70CL,6833337
CL012,ASD01,6833568,FAM GROUSE WHISKY  70CL,6811952
CL012,ASD01,6834121,MAKERS MARK BOURBON  70CL,6834121
CL012,ASD01,6834177,COURVOISIER VS COGNAC 70CL,6800368
CL012,ASD01,6834184,MACALLAN GOLD  70CL,6834184
CL012,ASD01,6834310,JIM BEAM HONEY 70CL,6834310
CL012,ASD01,6834345,FUNDADOR BRANDY  70CL,6834345
CL012,ASD01,6834352,THE ARDMORE LEGACY  70CL,6834352
CL012,ASD01,6834359,SOURZ RAIN 70CL,6834359
CL012,ASD01,6835479,AUCHENTOSHAN SCOTCH 70CL,6835479
CL012,ASD01,6835486,MIDORI SCOTCH 70CL,6835486
CL012,ASD01,6835829,JIM BEAM BOURBON APPLE 70CL,6835829
CL012,ASD01,6837264,AUCHENTOSHAN AMERICAN OAK 70CL,6837264
CL012,ASD01,6837411,COURVR VSOP COGNAC COGNAC 70CL,6837411
CL012,ASD01,6837999,FAMOUS GROUSE BLACK 70CL,6837999
CL012,ASD01,6838090,LAPHROAIG SELECT  70CL,6838090
CL012,ASD01,6838321,FAMOUS GROUSE BLACK 70CL,6837999
CL012,ASD01,6838398,COURVOISIER VS COGNAC 70CL,6800368
CL012,ASD01,9641572,GINGER GROUSE  50CL,9641572
