,Vendor_Name,Retailer_Invoice
19653,SAINSBURYS,RP3829/U0200/004
19654,ICELAND,971V/4620
19655,WAITROSE,70171282118
19656,MANDS,5100636889
19657,MORRISONS,20222046699551
19658,SAINSBURYS,RP5668/U0200/001
19659,MCCOLLS,1109103L
19660,COOP,TI00973465C
19661,COOP,TI00930332
19662,NISA,T289677
19663,WAITROSE,4700106858
19664,MORRISONS,2019841346198
19665,MORRISONS,20202002100040453
19666,BOOKER,90723086
19667,COOP,TI01209720
19668,TESCO,2100915189
19669,MORRISONS,20211199158727
19670,MANDS,1582621102834
19671,MORRISONS,20232074768226
19672,ICELAND,22310/2424
19673,BOOKER,90697172
19674,COSTCO,363771
19675,COOP,TI00896186
19676,BESTWAY,93943074
19677,BESTWAY,1016551
19678,SAINSBURYS,RP2504/U0200/002
19679,WAITROSE,70171313147
19680,COOP,TI01101287
19681,COOP,TI01216437
19682,COOP,TI01253141
19683,ASDA,7000190467
19684,SAINSBURYS,RP6381/U0200/002
19685,MORRISONS,20211141731151
19686,MORRISONS,20221684909924
19687,MANDS,5100902509
19688,MORRISONS,20221980940838
19689,AMAZON,5800883176
19690,ASDA,7000149239
19691,SAINSBURYS,RP8014/U0200/003
19692,ICELAND,22102/2724
19693,TESCO,1002100593647
19694,COOP,TI00838070
19695,COOP,TI01069566
19696,SPAR,D81312
19697,ASDA,PRICE CLAIM JAN
19698,SAINSBURYS,RP2671/U0200/001
19699,BESTWAY,952786
19700,ICELAND,ADD15405/3321
19701,ICELAND,ADD15105/3321
19702,SAINSBURYS,RP7320/U0200/001
19703,TESCO,1002100214616
19704,COOP,TC00084120
19705,ICELAND,622/5221
19706,MORRISONS,20232116042242
19707,BOOKER,90709015
19708,COOP,TI01004646
19709,COOP,TI01188651
19710,TESCO,2100799235
19711,AMAZON,5800992569
19712,SAINSBURYS,RP3753/U0200/003
19713,SAINSBURYS,RP4405/U0200/002
19714,MORRISONS,20201032040624
19715,BESTWAY,956173
19716,COOP,TI01077625
19717,COOP,TI01122087
19718,AMAZON,5800836259
19719,ASDA,7000080223
19720,TESCO,1002100209507
19721,COOP,TI00903271
19722,WAITROSE,70171359516
19723,ICELAND,ADD16624/3522
19724,NISA,T306922
19725,MORRISONS,20222035611098
19726,MORRISONS,20232074768272
19727,MORRISONS,20232391134497
19728,SAINSBURYS,RP7599/U0200/001
19729,MORRISONS,2020836233295
19730,MORRISONS,2020895197721
19731,COOP,TI00832673
19732,ASDA,7000128423
19733,TESCO,EL139903
19734,SPAR,0000082467
19735,MORRISONS,2020921229449
19736,ICELAND,ADD13795/4320
19737,WAITROSE,7012002639
19738,COOP,PCM103229
19739,ASDA,7000026302
19740,ASDA,7000090671
19741,SAINSBURYS,FD360019 / 01
19742,SAINSBURYS,RP1664/U0200/004
19743,SAINSBURYS,RP2527/U0200/00
19744,ASDA,7000080323
19745,WAITROSE,70171261944
19746,MANDS,5103318198
19747,SAINSBURYS,RP8354/U0200/002
19748,MORRISONS,2019828941501
19749,COOP,TI00905304
19750,ICELAND,1801914303
19751,TESCO,2100803443
19752,SAINSBURYS,RP3491/U0200/001
